keyword,frequency
Interview,15
UED,13
City,9
Architecture,8
Architectural,7
Design,7
Video,7
Art,6
Future,6
Lecture,6
Arup,6
Daniel,5
New,5
Shenzhen,5
Hall,5
Master's,5
Yao,5
Landscape,4
Green,4
Li,4
Museum,4
Wang,4
between,4
design,4
architectural,4
Associates,4
Industrial,3
Park,3
Spring,3
Autumn,3
product,3
innovation,3
Chen,3
Yang,3
Huahui,3
Dialogue,3
OMA,3
building,3
Chinese,3
Magazine,2
Sustainable,2
Development,2
Industry,2
Commercial,2
Workshop,2
Point,2
Thought,2
Change,2
Period,2
seizing,2
